,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
12,Indiana Pacers*,82,19855,.465,13.5,.728,.241,.186,.107,.194,.272,.498,.625,.464,.417,.418,.376,.498,.035,223,.234,938,.838,.258,.403,18,0
13,Los Angeles Clippers*,82,19755,.475,14.3,.671,.275,.118,.081,.197,.329,.525,.661,.419,.423,.439,.375,.494,.067,414,.223,879,.786,.198,.423,17,2
14,Los Angeles Lakers,82,19705,.450,12.6,.705,.299,.187,.103,.118,.295,.493,.633,.397,.379,.390,.346,.462,.056,358,.250,1006,.771,.217,.368,16,1
15,Memphis Grizzlies*,82,19905,.435,13.5,.684,.288,.158,.092,.144,.316,.473,.580,.416,.385,.380,.354,.504,.033,203,.267,979,.811,.192,.409,31,0
16,Miami Heat,82,19780,.455,13.0,.686,.290,.169,.094,.131,.314,.496,.630,.412,.387,.389,.365,.427,.054,350,.238,927,.890,.301,.400,14,0
17,Milwaukee Bucks*,82,19780,.474,11.8,.710,.351,.174,.077,.108,.290,.516,.644,.402,.377,.387,.370,.534,.073,448,.282,1073,.928,.276,.387,12,0
18,Minnesota Timberwolves,82,19805,.467,12.4,.751,.304,.164,.097,.186,.249,.507,.645,.437,.392,.402,.349,.535,.059,382,.250,991,.884,.267,.393,11,0
19,New Orleans Pelicans,82,19905,.450,13.3,.692,.279,.170,.094,.149,.308,.495,.627,.417,.427,.380,.350,.503,.048,313,.243,988,.833,.219,.373,11,0
20,New York Knicks,82,19855,.447,13.2,.721,.291,.126,.132,.172,.279,.485,.591,.381,.440,.419,.348,.469,.040,267,.256,992,.845,.229,.425,23,0
21,Oklahoma City Thunder*,82,19805,.452,12.1,.705,.346,.146,.104,.109,.295,.504,.614,.418,.391,.379,.327,.466,.063,401,.285,1129,.773,.252,.345,19,2
22,Orlando Magic,82,19805,.440,13.5,.700,.266,.168,.109,.157,.300,.488,.616,.427,.413,.390,.328,.495,.042,272,.231,917,.874,.182,.297,25,0
23,Philadelphia 76ers,82,19830,.442,13.2,.651,.309,.149,.092,.100,.349,.496,.638,.376,.384,.344,.340,.541,.047,301,.269,1087,.875,.154,.406,8,0
24,Phoenix Suns,82,19830,.450,12.5,.745,.306,.154,.120,.165,.255,.491,.629,.412,.402,.374,.332,.421,.057,358,.258,1066,.789,.269,.329,20,0
25,Portland Trail Blazers*,82,19930,.459,13.4,.678,.299,.141,.091,.148,.322,.499,.596,.418,.441,.417,.375,.444,.048,306,.247,935,.789,.199,.375,18,0
26,Sacramento Kings,82,19880,.461,13.1,.709,.258,.195,.100,.155,.291,.496,.642,.421,.412,.402,.376,.506,.051,309,.251,973,.875,.237,.416,18,0
27,San Antonio Spurs*,82,19805,.469,13.5,.719,.255,.159,.116,.191,.281,.500,.644,.429,.391,.431,.391,.525,.047,292,.215,864,.874,.268,.433,12,0
28,Toronto Raptors*,82,19780,.464,13.2,.711,.254,.185,.120,.153,.289,.505,.631,.450,.449,.407,.363,.372,.040,256,.235,919,.817,.273,.381,12,1
29,Utah Jazz*,82,19755,.466,13.1,.673,.297,.152,.105,.118,.327,.511,.651,.413,.427,.363,.372,.454,.069,416,.233,870,.799,.280,.385,14,1
30,Washington Wizards*,82,19855,.475,13.1,.716,.300,.137,.108,.169,.284,.515,.629,.429,.426,.442,.372,.496,.047,302,.260,1079,.858,.254,.351,10,0
,League Average,82,19815,.457,13.3,.684,.290,.152,.099,.142,.316,.503,.631,.414,.412,.403,.358,.495,.051,322,.250,994,.835,.228,.388,16.8,0.3
